lecture_year,semester,campus,course_no,title,target_year,capacity,professor,credit,time_place,language,is_english,note,syllabus_url
2025,1,국제,SWCON311-00,게임그래픽프로그래밍(컴퓨터공학과),3,50,이대호,3.0,"월 12:00-13:50 (B06)
수 12:00-13:50 (B06)",,False,메타버스 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015184&p_code=SWCON31100&p_subjt=SWCON311&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724071885
2025,1,국제,CSE103-00,객체지향프로그래밍,1,150,이대호,3.0,"월 16:30-18:20 (전205)
수 16:30-18:20 (전205)",,False,"본인 노트북으로 실습 (필요시 대여 가능), 실감미디어기술 마이크로디그리 교과목",https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015184&p_code=CSE10300&p_subjt=CSE103&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724073891
2025,1,국제,CSE302-02,컴퓨터네트워크,3,40,유인태,3.0,"월 13:30-14:45 (전137)
수 13:30-14:45 (전137)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015327&p_code=CSE30202&p_subjt=CSE302&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724075091
2025,1,국제,EE211-01,확률및랜덤변수(컴퓨터공학과),2,60,이계산,3.0,"화 15:00-16:15 (전226)
목 15:00-16:15 (전226)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=021795&p_code=EE21101&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724075910
2025,1,국제,AI3004-00,빅데이터마이닝(컴퓨터공학과),3,60,이영구,3.0,"월 13:30-14:45 (전103)
수 13:30-14:45 (전103)",,False,빅데이터분석 마이크로디그리 과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=022334&p_code=AI300400&p_subjt=AI3004&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724076677
2025,1,국제,CSE305-00,데이터베이스,3,67,이영구,3.0,"월 15:00-16:15 (B07)
수 15:00-16:15 (B07)",,False,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=022334&p_code=CSE30500&p_subjt=CSE305&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724077475
2025,1,국제,CSE406-02,캡스톤디자인,4,8,이영구,3.0,월 19:00-21:45 (B09),,False,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=022334&p_code=CSE40602&p_subjt=CSE406&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724078244
2025,1,국제,CSE495-04,독립심화학습1(컴퓨터공학),4,1,이영구,3.0,토 09:00-11:45 (),,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(박*우),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=022334&p_code=CSE49504&p_subjt=CSE495&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724079064
2025,1,국제,EE211-02,확률및랜덤변수(컴퓨터공학과),2,60,김윤희,3.0,"월 15:00-16:15 (전226)
수 15:00-16:15 (전226)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=023209&p_code=EE21102&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724080352
2025,1,국제,CSE406-03,캡스톤디자인,4,8,허의남,3.0,월 19:00-21:45 (B09),,False,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=024580&p_code=CSE40603&p_subjt=CSE406&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724081390
2025,1,국제,CSE496-07,연구연수활동1(컴퓨터공학),4,1,허의남,1.0,토 09:00-10:50 (),,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(우*진),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=024580&p_code=CSE49607&p_subjt=CSE496&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724082423
2025,1,국제,CSE443-00,AI네트워킹,4,50,허의남,3.0,"화 15:00-16:15 (B06)
목 15:00-16:15 (B06)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=024580&p_code=CSE44300&p_subjt=CSE443&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724083424
2025,1,국제,EE210-00,신호와시스템(컴퓨터공학과),3,60,김규헌,3.0,"월 12:00-13:15 (전220)
수 12:00-13:15 (전220)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=025249&p_code=EE21000&p_subjt=EE210&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724084541
2025,1,국제,EE209-02,논리회로(컴퓨터공학과),2,55,유재수,3.0,"월 16:30-17:45 (전226)
수 16:30-17:45 (전226)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=026088&p_code=EE20902&p_subjt=EE209&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724085502
2025,1,국제,CSE204-00,자료구조,2,60,이상훈,3.0,"월 12:00-13:50 (전136)
수 12:00-13:50 (전136)",,False,"선수과목:객체지향프로그래밍/노트북으로 실습, Visual Studio 환경 설정 필수",https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=033491&p_code=CSE20400&p_subjt=CSE204&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724086423
2025,1,국제,CSE301-01,운영체제,3,90,김범석,3.0,"월 10:30-11:45 (B09)
수 10:30-11:45 (B09)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=033495&p_code=CSE30101&p_subjt=CSE301&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724087435
2025,1,국제,CSE450-00,모바일/웹서비스프로그래밍,4,40,안기옥,3.0,화 15:00-17:45 (B05),,False,산학필수 과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=037046&p_code=CSE45000&p_subjt=CSE450&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724088384
2025,1,국제,CSE224-00,UI/UX프로그래밍,2,65,전석희,3.0,금 13:30-16:15 (B07),영어(부분),True,실감미디어기술 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=038168&p_code=CSE22400&p_subjt=CSE224&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724089527
2025,1,국제,CSE406-05,캡스톤디자인,4,8,전석희,3.0,월 19:00-21:45 (B09),,False,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=038168&p_code=CSE40605&p_subjt=CSE406&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724090444
2025,1,국제,SWCON103-00,디자인적사고(컴퓨터공학과),1,54,이승규,3.0,금 09:00-12:50 (전211-1),,False,디자인소프트웨어 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=039542&p_code=SWCON10300&p_subjt=SWCON103&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724091225
2025,1,국제,CSE406-01,캡스톤디자인,4,8,이승규,3.0,월 19:00-21:45 (B09),,False,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=039542&p_code=CSE40601&p_subjt=CSE406&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724092067
2025,1,국제,CSE428-00,컴퓨터그래픽스,4,40,이승규,3.0,"화 10:30-11:45 (전309)
목 10:30-11:45 (전309)",,False,실감미디어기술 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=039542&p_code=CSE42800&p_subjt=CSE428&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724092818
