lecture_year,semester,professor_name,subject_name,division_code,lecture_place,capacity,language,is_english,note,syllabus_url,subject_id,created_at
2025,1,배성호,독립심화학습1(컴퓨터공학),CSE495-07,,1,한국어,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(LU*),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=047387&p_code=CSE49507&p_subjt=CSE495&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724110707,,2025-05-27 14:25:46
2025,1,배성호,독립심화학습1(컴퓨터공학),CSE495-06,,1,한국어,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(김*범),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=047387&p_code=CSE49506&p_subjt=CSE495&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724112724,,2025-05-27 14:25:46
2025,1,배성호,독립심화학습1(컴퓨터공학),CSE495-01,,1,한국어,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(엄*진),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=047387&p_code=CSE49501&p_subjt=CSE495&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724114731,,2025-05-27 14:25:46
2025,1,배성호,독립심화학습1(컴퓨터공학),CSE495-05,,1,한국어,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(이*수),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=047387&p_code=CSE49505&p_subjt=CSE495&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724116750,,2025-05-27 14:25:46
2025,1,배성호,딥러닝,CSE331-00,전136,60,영어(부분),True,인공지능이론 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=047387&p_code=CSE33100&p_subjt=CSE331&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724118763,,2025-05-27 14:25:46
2025,1,김재홍,클라우드컴퓨팅,CSE335-00,글405,65,한국어,False,산학필수 과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=047818&p_code=CSE33500&p_subjt=CSE335&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724119587,,2025-05-27 14:25:46
2025,1,김정윤,컴퓨터네트워크,CSE302-01,전137,44,한국어,False,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=049571&p_code=CSE30201&p_subjt=CSE302&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724120197,,2025-05-27 14:25:46
2025,1,김정윤,AIoT네트워크,CSE444-00,137,40,한국어,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=049571&p_code=CSE44400&p_subjt=CSE444&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724120784,,2025-05-27 14:25:46
2025,1,김휘용,캡스톤디자인,CSE406-00,B09,8,한국어,False,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=052980&p_code=CSE40600&p_subjt=CSE406&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724121565,,2025-05-27 14:25:46
2025,1,김휘용,독립심화학습1(컴퓨터공학),CSE495-03,,1,한국어,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(김*욱),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=052980&p_code=CSE49503&p_subjt=CSE495&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724122269,,2025-05-27 14:25:46
